pair_id,present,x,y,theta,scale
p000,1,350.7061,738.0373,-4.9,8.0
p001,1,440.7775,668.6758,4.9,12.0
p002,1,255.85,258.75,0.0,10.0
p003,1,685.5285,497.4424,2.5,8.5
p004,1,473.0389,472.1032,-2.8,11.2
p005,1,301.0252,767.4387,1.2,9.4
p006,1,498.9265,498.259,-3.5,10.8
p007,1,644.5878,324.0156,-1.5,9.0
p008,1,513.8537,519.6305,1.8,10.5
p009,1,262.6412,564.6392,-2.2,9.8
p010,1,464.1706,712.2436,3.1,11.5
p011,1,657.3704,661.2654,-0.8,8.8
p012,1,267.55,555.15,0.0,10.0
p013,1,469.0556,308.8333,0.0,9.0
p014,0,0.0,0.0,0.0,0.0
p015,0,0.0,0.0,0.0,0.0
p016,0,0.0,0.0,0.0,0.0
p017,0,0.0,0.0,0.0,0.0
p018,1,616.5339,623.5798,1.4,9.2
p019,1,387.1109,228.6598,-2.4,10.6
