pair_id,set,preset,kind,present,x,y,theta,scale,search_path,reference_path,severity_level,v1_peak,v1_margin,v1_error,v2_error,attempts
p000,A,dram_1x,dram,1,350.7061,738.0373,-4.9,8.0,search/p000.png,reference/p000.png,0,0.9398196935653687,0.24356609582901,0.29625748935681195,0.29625748935681195,1
p001,A,finfet_7nm,finfet,1,440.7775,668.6758,4.9,12.0,search/p001.png,reference/p001.png,0,0.9289952516555786,0.45542630553245544,0.39320718457325193,0.39320718457325193,5
p002,A,dram_dense,dram,1,255.85,258.75,0.0,10.0,search/p002.png,reference/p002.png,0,0.9469282627105713,0.4263039231300354,0.4301162633521267,0.4301162633521267,1
p003,A,finfet_14nm,finfet,1,685.5285,497.4424,2.5,8.5,search/p003.png,reference/p003.png,0,0.9635141491889954,0.21182280778884888,0.06426515385493213,0.06426515385493213,3
p004,A,dram_loose,dram,1,473.0389,472.1032,-2.8,11.2,search/p004.png,reference/p004.png,0,0.9612436294555664,0.41858261823654175,0.11028803198898834,0.11028803198898834,1
p005,A,finfet_22nm,finfet,1,301.0252,767.4387,1.2,9.4,search/p005.png,reference/p005.png,0,0.9498993158340454,0.28359454870224,0.4787407753680591,0.4787407753680591,4
p006,A,dram_wide,dram,1,498.9265,498.259,-3.5,10.8,search/p006.png,reference/p006.png,0,0.9559956192970276,0.41040855646133423,0.2692271345908712,0.2692271345908712,1
p007,A,finfet_45nm,finfet,1,644.5878,324.0156,-1.5,9.0,search/p007.png,reference/p007.png,0,0.9296891689300537,0.4565850496292114,0.412495090879864,0.412495090879864,1
p008,B,finfet_10nm,finfet,1,513.8537,519.6305,1.8,10.5,search/p008.png,reference/p008.png,1,0.9274804592132568,0.4900791049003601,0.3974090336165134,0.3974090336165134,2
p009,B,dram_compact,dram,1,262.6412,564.6392,-2.2,9.8,search/p009.png,reference/p009.png,2,0.7696840763092041,0.2839033007621765,0.19827778493819273,0.19827778493819273,9
p010,B,finfet_28nm,finfet,1,464.1706,712.2436,3.1,11.5,search/p010.png,reference/p010.png,2,0.48827415704727173,0.18305599689483643,0.29739757900830344,0.29739757900830344,1
p011,B,dram_legacy,dram,1,657.3704,661.2654,-0.8,8.8,search/p011.png,reference/p011.png,3,0.4189560115337372,0.1579064130783081,0.7762946090241738,0.7762946090241738,1
p012,B,finfet_7nm,finfet,1,267.55,555.15,0.0,10.0,search/p012.png,reference/p012.png,3,0.41775503754615784,0.1669122278690338,0.3535533905932979,0.3535533905932979,1
p013,B,dram_1x,dram,1,469.0556,308.8333,0.0,9.0,search/p013.png,reference/p013.png,4,0.3255026936531067,0.03712695837020874,0.17572777242086746,0.17572777242086746,1
p014,C,dram_dense,dram,0,0.0,0.0,0.0,0.0,search/p014.png,reference/p014.png,0,1.0,1.0,0.0,0.0,1
p015,C,finfet_14nm,finfet,0,0.0,0.0,0.0,0.0,search/p015.png,reference/p015.png,0,1.0,1.0,0.0,0.0,1
p016,C,dram_loose,dram,0,0.0,0.0,0.0,0.0,search/p016.png,reference/p016.png,0,1.0,1.0,0.0,0.0,1
p017,C,finfet_22nm,finfet,0,0.0,0.0,0.0,0.0,search/p017.png,reference/p017.png,0,1.0,1.0,0.0,0.0,1
p018,D,dram_wide,dram,1,616.5339,623.5798,1.4,9.2,search/p018.png,reference/p018.png,0,0.730826199054718,0.23637008666992188,0.6275486036953657,0.6275486036953657,2
p019,D,finfet_28nm,finfet,1,387.1109,228.6598,-2.4,10.6,search/p019.png,reference/p019.png,0,0.6446372270584106,0.054311156272888184,0.4206362442776241,0.4206362442776241,8
