pair_id,present,x,y,theta,scale
p000,1,390.7971,371.3717,-4.9,8.0
p001,1,301.2402,436.1616,4.9,12.0
p002,1,545.55,412.05,0.0,10.0
p003,1,657.1197,325.9871,1.4,8.72
p004,1,569.5028,412.8574,-1.29,9.87
p005,1,293.7509,617.3159,2.91,9.42
p006,1,322.4592,433.7404,-3.23,11.62
p007,1,506.8485,378.053,-2.02,10.61
p008,1,544.2301,429.355,4.2,11.87
p009,1,498.8776,242.5408,2.53,10.54
p010,1,533.03,256.9921,3.26,10.06
p011,1,419.322,265.49,-1.61,9.79
p012,1,302.4499,616.7786,-2.74,9.11
p013,1,542.1642,253.8574,-0.69,10.1
p014,1,235.8916,482.1286,-4.87,10.65
p015,1,570.8928,565.6539,-1.35,9.79
p016,1,322.6525,492.5792,0.95,8.78
p017,1,415.7311,575.7297,-2.0,9.74
p018,1,312.8582,490.1938,3.75,8.84
p019,1,735.9785,603.5025,1.07,11.19
p020,1,611.0436,596.7527,4.47,9.38
p021,1,533.5796,530.4372,-0.67,10.25
p022,1,444.3699,444.0673,-1.81,11.6
p023,1,637.8256,226.9444,-1.86,10.78
p024,1,622.4673,306.2836,2.01,9.05
p025,1,313.9694,644.3352,-0.07,8.91
p026,1,387.4716,517.237,-3.11,10.32
p027,1,615.8063,226.4465,0.48,10.92
p028,1,248.47,237.6784,-1.28,10.49
p029,1,428.2004,284.0451,-0.05,9.68
p030,1,252.4703,278.6934,1.76,9.88
p031,1,249.8271,237.1791,-0.84,10.31
p032,1,752.9849,549.9859,2.94,8.01
p033,1,546.1589,551.7261,-1.73,10.08
p034,1,286.0829,237.8428,-4.07,10.0
p035,1,709.0717,550.2009,4.9,11.62
p036,1,716.2988,728.9406,-1.42,8.23
p037,1,489.74,481.2249,-1.86,10.92
p038,1,524.6785,529.3713,-0.83,10.27
p039,1,726.3251,332.2049,4.58,11.1
p040,1,713.0417,697.7621,1.21,11.55
p041,1,663.2029,481.072,4.47,8.64
p042,1,361.562,736.9981,-2.02,8.09
p043,1,622.8861,619.9472,1.72,9.13
p044,1,265.9323,397.7412,-4.07,9.95
p045,1,553.4335,736.2619,1.04,8.05
p046,1,700.1577,546.4217,1.01,9.97
p047,1,540.441,675.8763,3.9,10.26
p048,1,698.5669,333.1387,-3.12,11.67
p049,1,686.8505,422.2746,2.88,11.77
p050,1,233.5068,525.6398,1.6,10.56
p051,1,251.1306,412.763,4.17,10.18
p052,1,490.3952,649.9037,0.99,8.93
p053,1,600.5688,475.468,-3.65,11.26
p054,1,518.9365,658.8863,-0.97,10.46
p055,1,477.7814,479.7246,-4.32,11.06
p056,1,523.4887,524.4689,3.57,10.43
p057,1,232.7742,514.4869,-1.79,10.51
p058,1,775.8285,659.5888,-1.62,10.62
p059,1,506.873,361.5434,-3.72,10.67
p060,1,324.6742,297.6444,-4.67,9.12
p061,1,705.6708,710.4203,0.55,8.34
p062,1,642.293,484.9355,0.16,8.93
p063,1,524.4311,777.6875,3.81,10.64
p064,1,762.5546,302.0838,-1.81,9.42
p065,1,608.9233,626.2067,-3.82,9.25
p066,1,637.6274,497.4201,3.2,10.65
p067,1,551.3985,267.2641,0.58,9.89
p068,1,676.1509,428.953,1.99,11.83
p069,1,462.0634,227.506,3.89,10.98
p070,1,651.3123,640.0437,1.5,8.86
p071,1,619.3242,491.2793,3.42,10.87
p072,1,756.7258,281.1962,1.89,9.38
p073,1,516.6503,516.5212,-0.91,10.42
p074,1,347.1339,351.0716,-1.47,8.41
p075,1,547.6128,689.3222,-2.83,11.85
p076,1,350.3512,681.7338,-1.32,8.45
p077,1,685.1413,701.2617,-2.33,8.4
p078,1,443.1756,690.698,-1.81,11.66
p079,1,244.3311,508.4408,-2.61,10.34
p080,1,241.5702,352.9189,-3.57,10.6
p081,1,742.7131,749.537,-0.74,11.04
p082,1,744.4923,404.2327,-4.0,8.0
p083,1,763.5974,743.8411,2.0,11.0
p084,1,544.2174,389.1213,-0.59,10.2
p085,1,644.731,619.5284,2.7,9.07
p086,1,637.4244,309.8646,-2.0,9.0
p087,1,352.3958,734.1852,-4.0,8.0
p088,1,706.479,335.6018,-4.51,11.68
p089,1,506.2051,331.2276,-0.33,8.63
p090,1,321.7741,307.0691,-2.0,9.0
p091,1,749.9525,376.2906,-2.0,8.0
p092,1,664.0621,242.563,4.4,10.24
p093,1,438.2971,693.1648,-4.09,11.57
p094,1,654.7239,294.7985,4.0,12.0
p095,1,634.5834,477.5361,-4.0,9.0
p096,1,348.9508,464.3394,-1.96,11.12
p097,1,774.3148,756.4855,2.1,10.78
p098,1,293.2219,325.9108,4.0,9.0
p099,1,372.5682,377.6826,4.0,8.0
p100,1,629.8631,612.3424,1.23,9.19
p101,1,642.5276,234.286,-4.04,10.86
p102,1,633.3263,310.7145,2.0,9.0
p103,1,262.6025,256.0341,-2.0,10.0
p104,1,328.7118,486.0372,0.47,8.78
p105,1,406.4932,268.0754,0.74,9.86
p106,1,415.771,556.0065,2.0,10.0
p107,1,741.25,557.125,0.0,8.0
p108,1,724.4032,339.0078,-3.09,11.46
p109,1,466.6913,306.5543,-1.38,9.24
p110,1,420.4432,426.4229,2.0,12.0
p111,1,482.1668,481.1392,2.0,11.0
p112,1,634.9147,315.6049,2.35,8.94
p113,1,476.4961,481.7144,2.59,10.98
p114,1,427.4964,248.3154,-4.0,10.0
p115,1,553.5762,551.2688,-2.0,10.0
p116,1,729.1726,696.8317,3.64,11.42
p117,1,649.9551,643.6324,0.49,8.94
p118,1,631.3893,485.8723,-2.0,9.0
p119,1,483.2727,744.7273,0.0,11.0
p120,1,347.3093,704.8098,-2.1,8.28
p121,1,613.8918,292.4434,4.02,9.17
p122,1,553.95,547.05,0.0,10.0
p123,1,774.8873,235.7494,-4.0,11.0
p124,1,565.6625,422.014,-0.07,9.74
p125,1,231.5898,246.8944,0.31,10.49
p126,1,430.5417,432.2083,0.0,12.0
p127,1,561.1897,407.747,-2.0,10.0
p128,1,222.3367,274.129,4.57,10.27
p129,1,524.571,389.7422,3.72,10.19
p130,1,227.0202,329.3966,-4.0,11.0
p131,1,381.4616,373.1786,-2.0,8.0
p132,1,732.1772,725.5745,0.67,11.31
p133,1,549.092,564.2608,-1.26,9.96
p134,1,558.9114,266.6816,-2.0,10.0
p135,1,758.6988,746.832,2.0,11.0
p136,1,742.2,592.993,-0.62,9.52
p137,1,231.3857,770.4925,4.28,11.0
p138,1,432.6471,548.7417,4.0,12.0
p139,1,311.2778,309.6111,0.0,9.0
p140,0,0.0,0.0,0.0,0.0
p141,0,0.0,0.0,0.0,0.0
p142,0,0.0,0.0,0.0,0.0
p143,0,0.0,0.0,0.0,0.0
p144,0,0.0,0.0,0.0,0.0
p145,0,0.0,0.0,0.0,0.0
p146,0,0.0,0.0,0.0,0.0
p147,0,0.0,0.0,0.0,0.0
p148,0,0.0,0.0,0.0,0.0
p149,0,0.0,0.0,0.0,0.0
p150,0,0.0,0.0,0.0,0.0
p151,0,0.0,0.0,0.0,0.0
p152,0,0.0,0.0,0.0,0.0
p153,0,0.0,0.0,0.0,0.0
p154,0,0.0,0.0,0.0,0.0
p155,0,0.0,0.0,0.0,0.0
p156,0,0.0,0.0,0.0,0.0
p157,0,0.0,0.0,0.0,0.0
p158,0,0.0,0.0,0.0,0.0
