pair_id,set,preset,kind,present,x,y,theta,scale,search_path,reference_path,severity_level,v1_peak,v1_margin,v1_error,v2_error,attempts
p000,A,dram_1x,dram,1,390.7971,371.3717,-4.9,8.0,search/p000.png,reference/p000.png,0,0.926276683807373,0.4247589111328125,0.4234729035014895,0.4234729035014895,1
p001,A,dram_dense,dram,1,301.2402,436.1616,4.9,12.0,search/p001.png,reference/p001.png,0,0.9620076417922974,0.04284888505935669,0.2895006044898947,0.2895006044898947,4
p002,A,dram_loose,dram,1,545.55,412.05,0.0,10.0,search/p002.png,reference/p002.png,0,0.9581276774406433,0.042144060134887695,0.4527692569068545,0.4527692569068545,2
p003,A,dram_wide,dram,1,657.1197,325.9871,1.4,8.72,search/p003.png,reference/p003.png,0,0.9733517169952393,0.3611387014389038,0.12039310611489326,0.12039310611489326,1
p004,A,dram_compact,dram,1,569.5028,412.8574,-1.29,9.87,search/p004.png,reference/p004.png,0,0.95646733045578,0.03808969259262085,0.517245202974397,0.517245202974397,1
p005,A,dram_legacy,dram,1,293.7509,617.3159,2.91,9.42,search/p005.png,reference/p005.png,0,0.9816402196884155,0.38384467363357544,0.31119707582170514,0.31119707582170514,4
p006,A,finfet_10nm,finfet,1,322.4592,433.7404,-3.23,11.62,search/p006.png,reference/p006.png,0,0.9756588935852051,0.0595933198928833,0.2438376509073403,0.2438376509073403,1
p007,A,finfet_7nm,finfet,1,506.8485,378.053,-2.02,10.61,search/p007.png,reference/p007.png,0,0.9294288158416748,0.23511213064193726,0.5667991266754064,0.5667991266754064,5
p008,A,finfet_14nm,finfet,1,544.2301,429.355,4.2,11.87,search/p008.png,reference/p008.png,0,0.9693853855133057,0.08007180690765381,0.30638376262458566,0.30638376262458566,1
p009,A,finfet_22nm,finfet,1,498.8776,242.5408,2.53,10.54,search/p009.png,reference/p009.png,0,0.9207819104194641,0.41523534059524536,0.4752329954874932,0.4752329954874932,3
p010,A,finfet_28nm,finfet,1,533.03,256.9921,3.26,10.06,search/p010.png,reference/p010.png,0,0.9626705646514893,0.48840370774269104,0.031022733599708214,0.031022733599708214,2
p011,A,finfet_45nm,finfet,1,419.322,265.49,-1.61,9.79,search/p011.png,reference/p011.png,0,0.9846081733703613,0.05910313129425049,0.17828067758452917,0.17828067758452917,4
p012,A,dram_1x,dram,1,302.4499,616.7786,-2.74,9.11,search/p012.png,reference/p012.png,0,0.9480346441268921,0.2545652985572815,0.2830688432166091,0.2830688432166091,1
p013,A,dram_dense,dram,1,542.1642,253.8574,-0.69,10.1,search/p013.png,reference/p013.png,0,0.9832538962364197,0.34884095191955566,0.2174773551430426,0.2174773551430426,4
p014,A,dram_loose,dram,1,235.8916,482.1286,-4.87,10.65,search/p014.png,reference/p014.png,0,0.8999668955802917,0.4290730953216553,0.5397115155339974,0.5397115155339974,2
p015,A,dram_wide,dram,1,570.8928,565.6539,-1.35,9.79,search/p015.png,reference/p015.png,0,0.9671483039855957,0.4265408515930176,0.4218732629593627,0.4218732629593627,5
p016,A,dram_compact,dram,1,322.6525,492.5792,0.95,8.78,search/p016.png,reference/p016.png,0,0.9861662983894348,0.03390967845916748,0.1718397218340237,0.1718397218340237,1
p017,A,dram_legacy,dram,1,415.7311,575.7297,-2.0,9.74,search/p017.png,reference/p017.png,0,0.9717374444007874,0.11620241403579712,0.3812732615854366,0.3812732615854366,4
p018,A,finfet_10nm,finfet,1,312.8582,490.1938,3.75,8.84,search/p018.png,reference/p018.png,0,0.9512428045272827,0.07290327548980713,0.24013679434855648,0.24013679434855648,2
p019,A,finfet_7nm,finfet,1,735.9785,603.5025,1.07,11.19,search/p019.png,reference/p019.png,0,0.9307370781898499,0.0928533673286438,0.49796435615407597,0.49796435615407597,4
p020,A,finfet_14nm,finfet,1,611.0436,596.7527,4.47,9.38,search/p020.png,reference/p020.png,0,0.9447928667068481,0.4048275351524353,0.25111401792810206,0.25111401792810206,1
p021,A,finfet_22nm,finfet,1,533.5796,530.4372,-0.67,10.25,search/p021.png,reference/p021.png,0,0.9807575941085815,0.5100522339344025,0.10139033484513808,0.10139033484513808,4
p022,A,finfet_28nm,finfet,1,444.3699,444.0673,-1.81,11.6,search/p022.png,reference/p022.png,0,0.9471539258956909,0.45381680130958557,0.4518354789079945,0.4518354789079945,1
p023,A,finfet_45nm,finfet,1,637.8256,226.9444,-1.86,10.78,search/p023.png,reference/p023.png,0,0.9852153658866882,0.08651256561279297,0.18304840889774712,0.18304840889774712,4
p024,A,dram_1x,dram,1,622.4673,306.2836,2.01,9.05,search/p024.png,reference/p024.png,0,0.9863958954811096,0.4412793517112732,0.2188566882688482,0.2188566882688482,1
p025,A,dram_dense,dram,1,313.9694,644.3352,-0.07,8.91,search/p025.png,reference/p025.png,0,0.9629459977149963,0.3358367681503296,0.4974890953578897,0.4974890953578897,2
p026,A,dram_loose,dram,1,387.4716,517.237,-3.11,10.32,search/p026.png,reference/p026.png,0,0.9444918632507324,0.04600328207015991,0.5278025767273273,0.5278025767273273,2
p027,A,dram_wide,dram,1,615.8063,226.4465,0.48,10.92,search/p027.png,reference/p027.png,0,0.9774165749549866,0.073932945728302,0.31093719623097504,0.31093719623097504,4
p028,A,dram_compact,dram,1,248.47,237.6784,-1.28,10.49,search/p028.png,reference/p028.png,0,0.9235222935676575,0.3014456033706665,0.569496760306845,0.569496760306845,1
p029,A,dram_legacy,dram,1,428.2004,284.0451,-0.05,9.68,search/p029.png,reference/p029.png,0,0.991542398929596,0.03970521688461304,0.20541219535363506,0.20541219535363506,4
p030,A,finfet_10nm,finfet,1,252.4703,278.6934,1.76,9.88,search/p030.png,reference/p030.png,0,0.9303990006446838,0.4308485686779022,0.5614139738196852,0.5614139738196852,3
p031,A,finfet_7nm,finfet,1,249.8271,237.1791,-0.84,10.31,search/p031.png,reference/p031.png,0,0.9736170768737793,0.4766205847263336,0.24894019362088035,0.24894019362088035,4
p032,A,finfet_14nm,finfet,1,752.9849,549.9859,2.94,8.01,search/p032.png,reference/p032.png,0,0.9747493267059326,0.14901578426361084,0.020659622455369415,0.020659622455369415,1
p033,A,finfet_22nm,finfet,1,546.1589,551.7261,-1.73,10.08,search/p033.png,reference/p033.png,0,0.9722883105278015,0.41058075428009033,0.3166550489097239,0.3166550489097239,4
p034,A,finfet_28nm,finfet,1,286.0829,237.8428,-4.07,10.0,search/p034.png,reference/p034.png,0,0.8924440741539001,0.38457608222961426,0.5398928134361595,0.5398928134361595,1
p035,A,finfet_45nm,finfet,1,709.0717,550.2009,4.9,11.62,search/p035.png,reference/p035.png,0,0.8800587058067322,0.1129336953163147,0.5223999425727404,0.5223999425727404,4
p036,A,dram_1x,dram,1,716.2988,728.9406,-1.42,8.23,search/p036.png,reference/p036.png,0,0.9517707824707031,0.32229501008987427,0.4843653579685526,0.4843653579685526,1
p037,A,dram_dense,dram,1,489.74,481.2249,-1.86,10.92,search/p037.png,reference/p037.png,0,0.9702404141426086,0.40808820724487305,0.3650753483871642,0.3650753483871642,4
p038,A,dram_loose,dram,1,524.6785,529.3713,-0.83,10.27,search/p038.png,reference/p038.png,0,0.9490585327148438,0.3645890951156616,0.4911475745639224,0.4911475745639224,1
p039,A,dram_wide,dram,1,726.3251,332.2049,4.58,11.1,search/p039.png,reference/p039.png,0,0.9691288471221924,0.04793858528137207,0.3430364703642857,0.3430364703642857,4
p040,A,dram_compact,dram,1,713.0417,697.7621,1.21,11.55,search/p040.png,reference/p040.png,0,0.9635404944419861,0.3352196216583252,0.24152701712227553,0.24152701712227553,1
p041,A,dram_legacy,dram,1,663.2029,481.072,4.47,8.64,search/p041.png,reference/p041.png,0,0.952013373374939,0.062480807304382324,0.521010949980898,0.521010949980898,1
p042,A,finfet_10nm,finfet,1,361.562,736.9981,-2.02,8.09,search/p042.png,reference/p042.png,0,0.9451160430908203,0.3972633481025696,0.505714949353862,0.505714949353862,1
p043,A,finfet_7nm,finfet,1,622.8861,619.9472,1.72,9.13,search/p043.png,reference/p043.png,0,0.9108343720436096,0.4379264712333679,0.5908138877853166,0.5908138877853166,4
p044,A,finfet_14nm,finfet,1,265.9323,397.7412,-4.07,9.95,search/p044.png,reference/p044.png,0,0.9634223580360413,0.21659260988235474,0.2675083737007206,0.2675083737007206,1
p045,A,finfet_22nm,finfet,1,553.4335,736.2619,1.04,8.05,search/p045.png,reference/p045.png,0,0.9819309711456299,0.12715375423431396,0.2472121760755676,0.2472121760755676,4
p046,A,finfet_28nm,finfet,1,700.1577,546.4217,1.01,9.97,search/p046.png,reference/p046.png,0,0.9673603773117065,0.049575209617614746,0.35114125362881776,0.35114125362881776,3
p047,A,finfet_45nm,finfet,1,540.441,675.8763,3.9,10.26,search/p047.png,reference/p047.png,0,0.8732389807701111,0.1680527925491333,0.45802040347567885,0.45802040347567885,5
p048,A,dram_1x,dram,1,698.5669,333.1387,-3.12,11.67,search/p048.png,reference/p048.png,0,0.9354931116104126,0.07360196113586426,0.3674415599793045,0.3674415599793045,1
p049,A,dram_dense,dram,1,686.8505,422.2746,2.88,11.77,search/p049.png,reference/p049.png,0,0.9661044478416443,0.44169217348098755,0.31265861574568543,0.31265861574568543,5
p050,A,dram_loose,dram,1,233.5068,525.6398,1.6,10.56,search/p050.png,reference/p050.png,0,0.9577846527099609,0.4272114634513855,0.6217638458450057,0.6217638458450057,1
p051,A,dram_wide,dram,1,251.1306,412.763,4.17,10.18,search/p051.png,reference/p051.png,0,0.9433207511901855,0.03291124105453491,0.45345932562909924,0.45345932562909924,2
p052,A,dram_compact,dram,1,490.3952,649.9037,0.99,8.93,search/p052.png,reference/p052.png,0,0.9739067554473877,0.10957270860671997,0.41708120312472546,0.41708120312472546,1
